英文,中文
"The People’s Bank of China has authorized the China Foreign Exchange Trade System to release the interbank foreign exchange market central parity rates of the RMB: USD1 to RMB6.4401, EUR1 to RMB7.8482, JPY100 to RMB5.7854, HKD1 to RMB0.82399, GBP1 to RMB8.9017, AUD1 to RMB5.1302, NZD1 to RMB4.6779, SGD 1 to RMB4.8546, CHF1 to RMB6.6731, CAD1 to RMB5.1747, RMB1 to MYR 0.61399, RMB1 to RUB8.8352, RMB1 to ZAR1.9128, RMB1 to KRW165.95, RMB1 to AED0.57030, RMB1 to SAR0.58233, RMB1 to HUF39.3106, RMB1 to PLN0.53093, RMB1 to DKK0.9487, RMB1 to SEK1.2501, RMB1 to NOK1.2240, RMB1 to TRY0.59303, RMB1 to MXN2.9071.",中国人民银行授权中国外汇交易中心公布，2018年1月18日银行间外汇市场人民币汇率中间价为：1美元对人民币6.4401元，1欧元对人民币7.8482元，100日元对人民币5.7854元，1港元对人民币0.82399元，1英镑对人民币8.9017元，1澳大利亚元对人民币5.1302元，1新西兰元对人民币4.6779元，1新加坡元对人民币4.8546元，1瑞士法郎对人民币6.6731元，1加拿大元对人民币5.1747元，人民币1元对0.61399马来西亚林吉特，人民币1元对8.8352俄罗斯卢布，人民币1元对1.9128南非兰特，人民币1元对165.95韩元，人民币1元对0.57030阿联酋迪拉姆，人民币1元对0.58233沙特里亚尔，人民币1元对39.3106匈牙利福林，人民币1元对0.53093波兰兹罗提，人民币1元对0.9487丹麦克朗，人民币1元对1.2501瑞典克朗，人民币1元对1.2240挪威克朗，人民币1元对0.59303土耳其里拉，人民币1元对2.9071墨西哥比索。
"Endeavor Group Holdings (EDR.N), an entertainment and talent agency company backed by Hollywood power broker Ari Emanuel with a track record of losses, made a last-minute decision to abandon its IPO due to the tough market conditions. Taking a lesson from the struggles earlier in 2019 of ride-hailing companies Uber Technologies (UBER.N) and Lyft Inc (LYFT.O), which have no stated timetable for becoming profitable, investors have started to push back on companies with a history of steep losses. ""It will be a dialogue among bankers and boards and senior management teams where they say, ""these were isolated and not comparable,"" or say ""we have a sentiment shift and we need to be more conservative and use a different strategy,"""" said David Ethridge, U.S. IPO services leader at audit firm PwC. The market was more receptive to lesser-known names such as cyber security company Ping Identity PING.N and cloud monitoring company Datadog Inc DDOG.O. Both companies have reported more modest losses and rely on selling to companies rather than to consumers.",由好莱坞重量级经纪人阿里·伊曼纽尔支持的娱乐及人才经纪公司 Endeavor Group Holdings (EDR.N) 因市场形势严峻，在最后一刻决定放弃首次公开募股，该公司过去曾有过亏损记录。2019 年早些时候，约车公司优步科技 (UBER.N) 和 Lyft Inc (LYFT.O) 还没有明确的盈利时间表，吸取了这两家公司的教训，投资者已经开始推迟投资那些有严重亏损历史的公司。“这将是银行家、董事会和高级管理团队之间的对话，他们会说，‘这些是孤立的，不可比较的'，或者说，‘我们的情绪发生了转变，我们需要更加保守，并使用不同的战略'”，普华永道会计师事务所美国首次公开募股服务主管的大卫·埃思里奇说道。市场更容易接纳一些不太知名的公司，比如网络安全公司 Ping Identity (PING.N) 和云监测公司 Datadog Inc (DDOG.O)。这两家公司的亏损都较为温和，而且主要是向公司而非消费者销售产品。
"First, the displacement will be increased significantly compared to the current 054A model. It is estimated that the displacement of the new frigate will reach about 5000-6000 tons. The ship will be equipped with a comprehensive electric propulsion system that combines a QC280 modified gas turbine and two diesel engines, improving the maximum speed to around 30 knots and significantly increase the cruise range. As for the weaponry, the 76mm main gun and 1130 near-range anti-aircraft gun will be retained, but a HQ-10 launch system will be added. A shared vertical launching system for 32-48 unit HQ-16 modified missile and Fish-8 missiles will be furnished at the back of the main gun. A large 8-16-unit vertical launching system should be furnished at the middle-to-rear section of the hull for the launch of YJ-18 and new cruise missiles. Hangars and parking platforms will also be expanded for the parking and storage of two 10-ton helicopters. As for the electronic radar systems, the high grade model will be equipped with a small four-sided fixed phase-control array radar developed based on 346A. the low grade model will be furnished with multi-function rotating phased array radar similar to the ones on European frigates.",首先来说排水量相对于现在的054A型护卫舰将有一个大幅度的增加，估计新型护卫舰的排水量会达到5000-6000吨左右;动力系统将会采用有一台QC280改进型燃气轮机和两台柴油机组成的综合电力推进系统，最高航速有望达到30节左右，续航力也会大幅度增加;至于武器配置76毫米主炮和1130近防炮应该会保留，但是会增加一座红旗10发射系统，主炮后面应该会有一个32-48单元红旗16改进型和鱼-8共架的垂发系统，在舰体中后方应该会加装一个8-16单元的大型垂发系统用于发射鹰击18和新型巡航导弹;机库和停机平台也会增大，达到两架10吨级直升机的停放和存放;至于电子雷达系统方面，高配的话应该会装备基于346A发展的小型四面固定相控阵雷达，低配的话可以使用类似于欧洲护卫舰上的多功能旋转相控阵雷达。
"Romania and Bulgaria, located on the Black Sea coast, which in the past were allies of the USSR, have joined NATO and the EU since its collapse. In response to Russia's actions, they have asked the alliance to strengthen its presence in the region, writes The Times. In February, 500 US troops arrived at Romania's air base. An Eurofighter Typhoon fighter squadron of the British Air Force is stationed and deployed. Since April last year, these aircraft have repeatedly intercepted Russian fighter jets. Georgia, located on the eastern Black Sea coast, is also concerned about Russia's aspirations. It is not a member of the alliance, but is involved in NATO military exercises. NATO Secretary General Jens Stoltenberg said during a visit to Tbilisi in March that the alliance was ""preparing"" Georgia for accession. Ukraine has also participated in NATO exercises in the region and has been developing its engagement with the Union since 2014.",罗马尼亚和保加利亚位于黑海沿岸，过去曾是苏联的盟友，在苏联解体后加入了北约和欧盟。《泰晤士报》称，为回应俄罗斯的行动，他们要求北约加强其在该地区的势力。2 月，500 名美军抵达罗马尼亚的空军基地。英国空军的欧洲台风战斗机中队已驻扎并完成部署。自去年 4 月以来，这些飞机已经多次拦截俄罗斯战斗机。位于黑海东部沿海的格鲁吉亚也对俄罗斯的勃勃野心感到担忧。它不是北约成员，但参加了北约军事演习。北约秘书长延斯·斯托尔滕贝格在 3 月份访问第比利斯时表示，北约正在为格鲁吉亚加入“做准备”。乌克兰也参加了北约在该地区的演习，自 2014 年以来一直在发展与欧盟的关系。
"Interestingly, one of the 12 galaxies in z66OD was a giant object with a huge body of gas, known as Himiko, which was found previously by the Subaru Telescope in 2009. ""It is reasonable to find a protocluster near a massive object, such as Himiko. However, we're surprised to see that Himiko was located not in the center of the protocluster, but on the edge 500 million light-years away from the center."" said Masami Ouchi, a team member at the National Astronomical Observatory of Japan and the University of Tokyo, who discovered Himiko in 2009. Ironically, the mythological queen Himiko is also said to have lived cloistered away from her people. Ouchi continues, ""It is still not understood why Himiko is not located in the center. These results will be a key for understanding the relationship between clusters and massive galaxies.""",有趣的是，在 z66OD 的 12 个星系中，有一个是在 2009 年通过斯巴鲁望远镜发现的大型星系卑弥呼，其中包含了大量气体。卑弥呼星系发现者日本国家天文台和东京大学的团队成员长泽正美提到：“在卑弥呼这样的大质量天体附近是有可能发现原星团的。然而，我们惊讶的是，卑弥呼并不是位于原星系团的中心，而是在距离中心 5 亿光年的边缘上”。讽刺的是，神话中的皇后卑弥呼据说也是过着与世隔绝的生活。正美继续谈到：“目前尚不清楚为什么卑弥呼不在中间位置。但是这些结果将是了解星系团和大质量星系之间关系的重要信息。”
"Hickey is a part of ""bookstagram,"" the corner of Instagram combining a love of books with stylized, eye-catching photos, to the delight of large fanbases. The bookstagram tag has been used on over 35m Instagram posts, and the more popular bookstrammers have upwards of 100,000 followers (for comparison, the Instagram for the New York Times book section has about 69,000 followers.) There are enough people joining bookstagram that a slew of articles have cropped up, advising would-be bookstagrammers on best practice, how to manage Instagram's ""pesky algorithm"" and the best budget-friendly props. Some accounts focus on old books, or books by authors of color, many play with elaborate staging.",希基是“书讯”的用户，这个照片墙上的标签通过各种风格各异、吸引眼球的照片，记录对书籍的热爱，让众多粉丝们欣喜若狂。书讯标签已被超过 3500 万个照片墙帖子转发，而受欢迎的书讯博主拥有超过 10 万个关注者（相比之下，《纽约时报》图书版的照片墙拥有大约 6.9 万个关注者。） 众多用户加入了书讯，出现了大量贴文， 建议 书讯博主们采用最佳实践，来管理照片墙“讨厌的算法”并利用最经济实惠的道具。一些账户以旧书为焦点，或聚焦于不同背景作者的书，许多都是经精心策划设计。
"Norman Eisen, a senior fellow at the Brookings Institution, is the chairman of Citizens for Responsibility and Ethics in Washington and the author of ""The Last Palace: Europe's Turbulent Century in Five Lives and One Legendary House.""",布鲁金斯学会高级研究员诺曼·艾森 (Norman Eisen) 是华盛顿公民责任与道德组织 (Citizens for Responsibility and Ethics in Washington ) 的主席，也是《最后的宫殿：通过五个人物的一生与一栋传奇的住宅看欧洲的一个动荡世纪》(The Last Palace: Europe's Turbulent Century in Five Lives and One Legendary House) 的作者。
"And yet, it goes beyond being an informed citizen when you find yourself on hour six of watching a panel of experts debate Bob Woodward's use of ""deep background"" sourcing for his book ""Fear,"" Paul Manafort's $15,000 ostrich-leather bomber jacket (""a garment thick with hubris,"" The Washington Post said) and the implications of Stormy Daniels's lurid descriptions of Mr. Trump's, um, anatomy.","然而，当你发现自己已经连续 6 小时观看专家小组讨论鲍勃·伍德沃德 (Bob Woodward) 在其著作《恐惧》(Fear) 中所用的“深层背景”根源，保罗·马纳福特 (Paul Manafort) 价值 15,000 美元的鸵鸟毛短夹克（《华盛顿邮报》称其为“傲慢的厚衣服”）以及斯托米·丹尼尔斯 (Stormy Daniels) 有关特朗普（呃，骨骼）耸人听闻的描述所暗指的含义时，你会发现这远远超出了一个普通公民的知情范围。"
"The state university workers"" most pressing complaints center on low wages and a lack of dignity at work. The pay disparities alone are shocking. About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). Meanwhile, university presidents"" annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million. While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps.","州立大学工作人员怨声载道，最主要的是集中在工资低、工作中缺乏尊严这两方面。单看薪酬差距就令人瞠目结舌。这些工作人员中大约有一半的年收入低于 40,000 美元（数百人的年收入低于 25,000 美元）。而与此同时，大学校长的平均年薪为 50 万美元，四名大学体育教练的年薪稍微低一点，共为 100 万美元。虽然学校管理人员的薪水为六位数，但总体行政支出仍在高涨，六分之一的机密工作人员有资格获得食品券。"
"First, let's examine the more pessimistic side. De Grood did stab and kill five people during a psychotic break. It was a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that ""if Matthew de Grood were to commit another offence, it would be severe."" Despite his perceived improvement, there is still risk of re-offense. But is this reason enough to remain afraid? Is it enough to keep de Grood locked up?",首先，让我们看看较为悲观的一面。德·格罗德确实在精神病发作期间捅死了 5 个人。这是一次不可预测的暴力袭击。他患有精神分裂症，这就是为什么他被裁定不负刑事责任，但此后一直在看精神病医生和服用药物。他的精神科医生桑托克·雷曾在审查委员会面前表示，“如果马修·德·格罗德再次犯法，那将后果严重。” 尽管他感觉有进步，但仍有再次攻击他人的风险。但这个理由足以令人继续害怕吗？这个理由足够把德格罗德关起来吗？
